Content Partner,Channel,Series Title,Video Title,Views,Time Period,Programming Type,Package,Ad Model,Season Number,Episode Number,Video Length,Sunrise,Sunset,CP External Id,QC Id,Region,ListID
NS CP NBC.com,NBC,Blindspot,A Stray Howl,3559,Nov 2015,Full Episode,Classic,longform,1,2,00:42:02,9/29/2015,11/3/2015,NBC_ANV_2910958,60623972,US,1
NS CP NBC.com,NBC,Blindspot,A Stray Howl,39713,Nov 2015,Full Episode,Plus,longform,1,2,00:42:02,9/29/2015,11/3/2015,NBC_ANV_2910958,60623972,US,2
NS CP NBC.com,NBC,Blindspot,Authentic Flirt,60823,Nov 2015,Full Episode,Classic,longform,1,9,00:43:09,11/17/2015,3/22/2016,NBC_ANV_2936407,60649450,US,3
NS CP NBC.com,NBC,Blindspot,Authentic Flirt,666185,Nov 2015,Full Episode,Plus,longform,1,9,00:43:09,11/17/2015,3/22/2016,NBC_ANV_2936407,60649450,US,4
NS CP NBC.com,NBC,Blindspot,Bone May Rot,20198,Nov 2015,Full Episode,Classic,longform,1,4,00:43:07,10/13/2015,11/17/2015,NBC_ANV_2918316,60631767,US,5
NS CP NBC.com,NBC,Blindspot,Bone May Rot,188628,Nov 2015,Full Episode,Plus,longform,1,4,00:43:07,10/13/2015,11/17/2015,NBC_ANV_2918316,60631767,US,6
NS CP NBC.com,NBC,Blindspot,Cede Your Soul,54931,Nov 2015,Full Episode,Classic,longform,1,6,00:42:55,10/27/2015,12/1/2015,NBC_ANV_2925087,60639127,US,7
NS CP NBC.com,NBC,Blindspot,Cede Your Soul,524440,Nov 2015,Full Episode,Plus,longform,1,6,00:42:55,10/27/2015,12/1/2015,NBC_ANV_2925087,60639127,US,8
NS CP NBC.com,NBC,Blindspot,Eight Slim Grins,12005,Nov 2015,Full Episode,Classic,longform,1,3,00:42:14,10/6/2015,11/10/2015,NBC_ANV_2915086,60627365,US,9
NS CP NBC.com,NBC,Blindspot,Eight Slim Grins,118552,Nov 2015,Full Episode,Plus,longform,1,3,00:42:14,10/6/2015,11/10/2015,NBC_ANV_2915086,60627365,US,10
NS CP NBC.com,NBC,Blindspot,Persecute Envoys,106807,Nov 2015,Full Episode,Classic,longform,1,8,00:42:20,11/10/2015,3/15/2016,NBC_ANV_2931827,60645915,US,11
NS CP NBC.com,NBC,Blindspot,Persecute Envoys,1220074,Nov 2015,Full Episode,Plus,longform,1,8,00:42:20,11/10/2015,3/15/2016,NBC_ANV_2931827,60645915,US,12
NS CP NBC.com,NBC,Blindspot,Sent On Tour,122596,Nov 2015,Full Episode,Classic,longform,1,7,00:42:16,11/3/2015,12/1/2015,NBC_ANV_2928783,60642324,US,13
NS CP NBC.com,NBC,Blindspot,Sent On Tour,1315377,Nov 2015,Full Episode,Plus,longform,1,7,00:42:16,11/3/2015,12/1/2015,NBC_ANV_2928783,60642324,US,14
NS CP NBC.com,NBC,Blindspot,Series Premiere,1,Nov 2015,Full Episode,Classic,longform,1,1,00:43:16,9/22/2015,10/27/2015,NBC_ANV_2904996,60620192,US,15
NS CP NBC.com,NBC,Blindspot,Split the Law,28561,Nov 2015,Full Episode,Classic,longform,1,5,00:43:07,10/20/2015,11/24/2015,NBC_ANV_2922034,60635564,US,16
NS CP NBC.com,NBC,Blindspot,Split the Law,278625,Nov 2015,Full Episode,Plus,longform,1,5,00:43:07,10/20/2015,11/24/2015,NBC_ANV_2922034,60635564,US,17
