"Video ID","Program Name","Episode Title",Type,"Episode Start"
UBC_ANV_2910958,Blindspark,"A Stray Howl",Plus,39713
UBC_ANV_2910958,Blindspark,"A Stray Howl",Classic,3559
UBC_ANV_2936407,Blindspark,"Authentic Flirt",Plus,666185
UBC_ANV_2936407,Blindspark,"Authentic Flirt",Classic,60823
UBC_ANV_2936407,Blindspark,"Authentic Flirt",ondomain,82786
UBC_ANV_2918316,Blindspark,"Bone May Rot",Plus,188628
UBC_ANV_2918316,Blindspark,"Bone May Rot",Classic,20198
UBC_ANV_2918316,Blindspark,"Bone May Rot",ondomain,21972
UBC_ANV_2925087,Blindspark,"Cede Your Soul",Classic,54931
UBC_ANV_2925087,Blindspark,"Cede Your Soul",ondomain,64923
UBC_ANV_2925087,Blindspark,"Cede Your Soul",Plus,524440
UBC_ANV_2915086,Blindspark,"Eight Slim Grins",ondomain,15073
UBC_ANV_2915086,Blindspark,"Eight Slim Grins",Plus,118552
UBC_ANV_2915086,Blindspark,"Eight Slim Grins",Classic,12005
UBC_ANV_2931827,Blindspark,"Persecute Envoys",ondomain,128461
UBC_ANV_2931827,Blindspark,"Persecute Envoys",Plus,1220074
UBC_ANV_2931827,Blindspark,"Persecute Envoys",Classic,106807
UBC_ANV_2928783,Blindspark,"Sent on Tour",ondomain,138270
UBC_ANV_2928783,Blindspark,"Sent On Tour",Plus,1315377
UBC_ANV_2928783,Blindspark,"Sent On Tour",Classic,122596
UBC_ANV_2904996,Blindspark,"Series Premiere",Classic,1
UBC_ANV_2922034,Blindspark,"Split the Law",Plus,278625
UBC_ANV_2922034,Blindspark,"Split the Law",Classic,28561
UBC_ANV_2922034,Blindspark,"Split the Law",ondomain,31847
