ListID,ExternalID,"Series Title","Video Title",program,episode,package,Views,Videostart
1,UBC_ANV_2910958,Blindspark,"A Stray Howl",NULL,NULL,Classic,3559,NULL
2,UBC_ANV_2910958,Blindspark,"A Stray Howl",NULL,NULL,Plus,39713,NULL
3,UBC_ANV_2936407,Blindspark,"Authentic Flirt",Blindspark,"Authentic Flirt",Classic,60823,82786
4,UBC_ANV_2936407,Blindspark,"Authentic Flirt",Blindspark,"Authentic Flirt",Plus,666185,82786
5,UBC_ANV_2918316,Blindspark,"Bone May Rot",Blindspark,"Bone May Rot",Classic,20198,21972
6,UBC_ANV_2918316,Blindspark,"Bone May Rot",Blindspark,"Bone May Rot",Plus,188628,21972
7,UBC_ANV_2925087,Blindspark,"Cede Your Soul",Blindspark,"Cede Your Soul",Classic,54931,64923
8,UBC_ANV_2925087,Blindspark,"Cede Your Soul",Blindspark,"Cede Your Soul",Plus,524440,64923
9,UBC_ANV_2915086,Blindspark,"Eight Slim Grins",Blindspark,"Eight Slim Grins",Classic,12005,15073
10,UBC_ANV_2915086,Blindspark,"Eight Slim Grins",Blindspark,"Eight Slim Grins",Plus,118552,15073
11,UBC_ANV_2931827,Blindspark,"Persecute Envoys",Blindspark,"Persecute Envoys",Classic,106807,128461
12,UBC_ANV_2931827,Blindspark,"Persecute Envoys",Blindspark,"Persecute Envoys",Plus,1220074,128461
13,UBC_ANV_2928783,Blindspark,"Sent On Tour",Blindspark,"Sent on Tour",Classic,122596,138270
14,UBC_ANV_2928783,Blindspark,"Sent On Tour",Blindspark,"Sent on Tour",Plus,1315377,138270
15,UBC_ANV_2904996,Blindspark,"Series Premiere",NULL,NULL,Classic,1,NULL
16,UBC_ANV_2922034,Blindspark,"Split the Law",Blindspark,"Split the Law",Classic,28561,31847
17,UBC_ANV_2922034,Blindspark,"Split the Law",Blindspark,"Split the Law",Plus,278625,31847
