SQUARE FEET,SALE PRICE
1488,225000
1290,300000
2452,400000
1296,225000
4080,510000
2400,390000
2394,389000
2394,250000
2772,525200
2772,240000
2340,420000
2845,1000
2400,385000
1050,312000
1900,0
2340,0
1804,500
2816,449000
2816,165000
1870,393600
4280,360000
3900,0
3854,0
3714,327600
2955,400000
2730,692258
2730,581540
2730,658620
3168,360000
3915,455000
9600,0
3786,330000
22000,2800000
21200,2800000
18000,3100000
28000,4250000
14900,0
8820,1355000
8820,8500000
16825,0
22550,0
32400,2768644
0,10503
0,20000
7124,1125000
6000,0
11480,0
3198,0
1451,0
16426,2100000
2375,0
18900,1545000
2500,0
4517,1100000
8870,3200000
1600,0
0,480000
0,480000
0,480000
0,485000
0,245000
0,48200
0,0
0,100000
800,0
0,0
7250,2150000
0,250000
0,225000
0,450000
1512,72500
1512,72500
1386,301600
1140,0
1732,345360
1732,235000
1732,185000
1732,210000
1998,370000
1701,386000
1701,0
1701,185000
1690,0
2320,0
1024,10
1528,395000
1714,0
1681,190000
1681,379000
1681,232000
1782,215000
1681,0
2430,385000
2430,310000
2267,365000
1406,375000
2214,305000
1476,429000
1476,225000
2220,0
1440,0
1736,0
1736,305000
1260,251000
722,334400
1475,430540
1539,0
1539,320000
1188,0
1188,0
1892,0
2112,308000
1165,350000
1224,379000
1384,0
1575,350000
1674,255000
1674,0
1674,230000
1000,339000
500,289000
703,218000
960,0
1452,0
1732,300000
1770,0
1534,347500
1534,212000
1744,75000
1582,197000
1582,1000
1188,280000
1800,0
1932,15000
1411,368000
1411,368000
1200,420000
1200,240000
1152,0
1452,0
1452,0
1122,352450
1296,396550
1394,355000
1505,365000
1948,0
1376,469000
1376,0
1282,0
1136,0
1152,10
1260,100000
1782,323850
1400,256041
1648,345000
2295,525000
3624,0
1200,200000
1744,0
788,269000
1208,255000
3200,255000
1925,265000
1250,0
1920,0
1512,300000
3021,560000
4543,621132
2110,0
3792,619000
1848,214825
3540,415000
1813,0
3735,0
3399,10
3300,423280
3150,0
1872,220000
1836,0
2717,313040
2250,100000
2187,0
3080,480000
2430,305000
2800,0
2109,260000
2650,0
2160,0
2160,258100
2700,10
1280,325000
1440,200000
1440,152000
2070,0
2070,400000
2750,475000
2880,450000
3100,0
2570,599000
1701,0
3034,450000
2080,0
2740,550000
2585,0
2112,0
3150,481940
1880,492000
1856,370000
1531,451500
1531,250001
1468,0
1683,0
3654,530000
1584,597751
1584,469000
2498,0
2680,565000
2680,328000
2310,0
2500,350000
2801,440000
3528,190000
2351,399000
2351,0
2940,470000
2955,560000
3060,10000
3060,545000
3600,285000
1764,0
1968,0
2856,537000
2690,478500
2536,0
2875,465000
2070,382000
2772,390000
2772,0
960,375000
1720,286200
2797,485000
4509,524421
1869,0
1890,350000
1584,475000
1806,0
2079,385000
1894,610844
2250,185000
2800,0
0,519400
0,499000
2365,462000
3028,500000
3076,524700
3076,529000
2843,422000
2928,319160
2902,405800
2714,440000
3010,499000
2600,0
2280,0
1044,210000
2088,430500
1728,395000
2547,330000
2904,280000
1372,445000
2004,0
2601,485500
2083,450500
2083,450500
2083,450500
2083,450500
2360,10
1734,235000
1734,235000
1688,290000
2532,510000
1454,463000
2057,420000
2128,420000
3975,0
1896,363500
2800,455000
1932,539672
2898,539672
3193,530000
2200,0
2178,60000
1260,270000
3229,306000
3200,550000
2602,0
3225,0
3366,580000
3816,0
2712,580000
2976,335000
2740,0
2360,0
2171,235000
3080,380000
2620,300000
3213,475000
2590,286200
4200,345000
2968,341000
3864,65000
3060,300000
3232,576580
3232,350000
3804,0
3519,565000
3400,340000
3400,20
3400,0
3400,240000
3372,625000
3372,300000
3195,352000
2800,0
3178,600000
1728,400000
2761,463000
3803,500
3166,556200
2772,0
4200,0
3696,495000
3631,460000
3060,0
3010,0
3010,0
3010,0
3010,0
3010,0
3010,0
3060,0
0,155000
0,620000
0,43784
0,0
5440,0
5440,0
0,0
6264,0
0,0
0,0
0,405600
0,0
0,90000
0,200000
0,55000
0,195000
0,130000
0,0
6476,0
6476,0
0,0
0,50000
300,0
300,255000
0,515000
4166,460000
4450,0
2152,0
2112,315000
5292,1235000
0,130000
0,105000
0,103000
0,120000
0,175000
0,0
3375,772172
11400,1000
3700,0
3700,0
14400,0
14400,2500000
2760,0
3306,1100000
9500,0
7100,690000
1412,250000
0,4950000
0,0
2250,1100000
500,0
10200,850000
5000,490000
6278,1600000
34800,600000
6355,0
0,0
0,0
0,0
0,0
6000,1000000
0,0
0,0
1838,0
1950,0
1950,212940
1736,0
1408,240000
936,150000
1801,470000
1801,180000
3400,525000
932,320000
2856,450000
1840,240000
6592,720000
1612,405000
1682,265000
1296,230000
1836,0
2775,499900
2775,270000
2775,0
1956,0
1956,200000
2827,235000
3503,300000
2583,280000
2984,445000
1642,111000
2548,396000
2358,100
3000,0
2244,290000
3513,680500
2664,522610
1650,162000
2772,600000
4040,300000
2224,550000
2678,0
2678,470000
3132,179000
2406,0
3324,10
3324,0
3324,358000
3600,720000
4200,0
2466,39000
2384,345438
2048,280000
2048,0
2048,398000
3672,295000
3339,420000
4242,420000
3546,0
3140,10
1898,380000
3440,0
3232,0
2772,300000
2640,200000
2772,0
2400,288000
3408,550000
3498,10
4704,0
0,0
0,0
0,0
0,270000
24080,7350000
24080,0
22000,2600000
20001,1650000
18839,3975000
54900,6200000
28751,3509755
12432,1100000
43250,5700000
30425,0
30425,3050000
14600,0
6500,540000
3969,0
48750,5240000
6825,625000
37000,4200000
3975,595000
27000,4000000
55623,8400000
23250,3000000
11808,1100000
147400,16240000
21750,0
37501,0
16280,2825000
6030,0
8900,0
47000,6600000
41600,6900000
5625,817500
6075,200000
18450,0
8000,495000
49000,6350000
49000,4850000
22000,2950000
22000,0
3780,0
3780,0
19125,0
34572,0
50762,1000000
50762,0
11482,440000
58962,0
58962,6192262
68501,6900000
66600,18825000
66600,0
36810,5200000
75610,9575000
75610,0
63340,8300000
64000,5750000
0,121780
0,165000
0,70000
0,77000
0,5605
0,65000
0,89000
0,225000
0,179378
0,145000
0,103000
0,42000
0,50000
0,54000
0,115000
0,115000
0,63500
0,195000
0,70000
0,118888
0,148918
0,6024
0,111540
0,112000
0,125000
0,241394
0,95000
0,165000
0,215000
0,125000
0,70000
0,0
0,84000
0,132500
0,0
0,110000
4200,900000
4200,0
3151,775000
0,108321
1976,610000
5940,0
5940,5750000
0,0
12187,0
0,0
0,6000000
4116,545000
2250,7099900
2250,0
0,0
0,0
5700,0
5700,700000
5700,0
20000,3000000
10340,250000
3270,491660
3270,10
2310,203000
0,950000
0,1200000
0,0
0,0
0,0
0,0
1324,325000
1324,142000
1152,300000
1152,300000
1920,1000
1872,350000
2288,325000
1376,0
3060,0
1992,0
1904,480000
2400,382000
3700,0
2380,469000
3000,0
3588,400000
3971,450000
3380,0
1752,385000
2209,479000
2209,228150
1960,495000
2088,0
2034,270000
1756,330000
2060,180000
1984,385000
3048,325000
2980,255000
2244,372000
1980,0
1920,315000
3314,597000
3314,340000
3314,589000
3314,370000
2321,641304
3252,316800
2832,0
22000,0
19200,3080000
3870,560000
2500,455708
8188,5800000
8188,0
8188,0
8188,0
13650,2450000
22500,0
22500,0
19845,0
17812,0
17812,6225000
14652,1700000
45000,0
4275,490000
14160,2375000
3825,450000
15840,0
15300,0
18640,0
15840,1920000
8800,1225000
15000,2650000
2520,420000
12830,2025000
9000,1285000
6396,900000
20250,3600000
4500,900000
4500,900000
18000,2686047
18000,2563953
6536,1100000
11400,0
10874,1800000
0,75000
0,70000
0,75000
0,74000
0,60000
0,125000
0,60000
0,68000
0,60000
0,68750
3795,1400000
5000,1240000
5300,1
0,200000
600,160000
7280,840000
12210,0
0,4125000
0,0
3898,655000
0,875000
1584,610950
2200,420000
1440,275000
2262,525000
2070,0
1280,0
1600,429000
1280,335000
1485,242108
1080,345000
2140,445000
2088,415000
1040,230000
1620,0
2058,409500
1216,360000
1870,355000
1700,0
1368,249000
2168,10
966,210000
1140,463453
839,521314
881,275000
1349,0
2014,417336
1440,0
1480,0
1584,309000
1728,310000
1632,205000
1632,0
2070,238290
1824,0
1920,320000
1536,0
1536,0
2160,400000
1596,250000
1566,340000
2520,0
1890,10
1336,0
1716,386250
1632,385000
797,0
1480,0
1632,308000
2004,408300
1320,350000
1320,190000
2052,329000
1224,270000
1420,460000
1420,197000
1420,0
1860,0
1925,265000
1160,325000
1810,410000
1620,184500
2052,0
2540,450000
2860,560000
2860,130000
2860,130000
1690,215800
1690,0
1690,335000
2393,0
2178,560000
2178,300000
3850,0
2140,0
2288,465000
2748,850000
2000,440000
3162,682227
3162,666953
1876,0
2100,530000
3202,510000
2860,0
2860,420000
2640,497500
2058,515000
1912,0
1912,90000
1914,390000
1625,372500
1625,323000
2300,418000
2300,0
2635,549000
2635,315000
2180,460000
1575,368000
1895,487905
1895,0
2142,387000
3086,10
2280,200000
4160,0
4160,230000
2184,0
2184,325000
2158,0
3021,0
1546,354000
1782,0
1620,195000
1944,0
2380,0
1890,380000
1524,529000
1524,195000
1524,0
1368,206000
1368,582252
2800,520000
1440,455000
1841,445200
2400,475000
1890,10
1890,0
1576,0
1818,450000
1818,350000
2800,0
3000,415000
1747,200000
1512,370000
2128,0
2681,220000
1716,432500
1716,1023453
2088,115000
1695,329755
2413,600000
2413,326500
4530,288000
3441,620000
2100,190000
1412,0
1664,310000
2840,0
1610,340000
2750,0
2200,359970
2612,0
2400,0
2850,475000
2850,260000
4069,0
1476,190000
1476,0
1776,503500
2826,0
2040,410000
1446,0
2322,460000
3132,550000
3150,315000
3150,0
3321,0
3300,480000
2632,0
3192,0
3437,0
3437,0
4704,450000
3744,10
3216,0
3795,0
2892,540000
2553,175000
2064,10
2750,250000
3811,490000
3240,0
3948,0
0,435000
0,0
0,0
0,0
0,60000
0,0
6000,500000
3160,560000
7272,1050000
7272,0
2436,445000
8524,1200000
21750,3085000
4342,515000
3432,75000
2720,300000
3757,470000
57678,0
31320,0
69120,9700000
45600,7300000
0,54000
0,42000
0,169000
0,150000
0,165000
0,89500
0,169000
0,107000
0,145000
0,72000
0,70000
0,90000
0,235000
0,165000
0,200000
0,135000
0,65000
0,165000
0,150000
0,100000
0,78000
0,99550
0,65000
0,175000
0,195000
0,200000
0,205000
0,0
0,170000
0,150000
0,153114
2268,495000
12988,2485000
2013,0
2750,1200000
1850,250000
3652,630000
2795,0
6475,780000
1350,0
64310,1294183
8910,1675000
1694,363542
1694,220000
1694,228415
1630,150000
1594,345000
1594,0
1330,0
1584,360000
1620,390000
1638,231500
1638,150000
1782,350000
1860,220000
1638,205000
1638,160000
1680,393000
1680,0
2135,0
1550,349000
1550,286590
1550,275000
1420,0
1552,280000
1900,0
1620,0
2160,523000
1224,380000
1152,0
1989,383000
1394,0
1633,0
1633,205000
1633,300000
1636,388000
1902,0
1902,0
1902,457000
2865,0
1902,0
1902,440000
2336,325000
2380,405000
1630,0
2325,0
2325,450000
2325,0
2325,499990
2325,267750
1800,435000
2680,435000
1944,325000
1782,368000
1782,0
1624,320000
3020,499500
3160,290000
2580,468000
2800,375000
2400,0
2400,0
1986,277000
1796,423000
1970,345000
1970,395200
3262,500000
1914,409000
2270,490000
2167,0
2040,440000
2700,0
1800,485000
3246,410000
2560,0
2560,465000
2620,470000
1776,0
2096,445000
5104,0
2100,0
2060,0
2438,0
2650,470000
4010,0
4560,400000
4560,0
2137,545000
3360,400000
2440,450000
2870,0
3690,645000
2480,410000
3815,0
4164,0
0,10400
0,0
0,0
2328,520000
2680,480000
421833,66000000
0,80000
0,79000
0,0
3588,0
7882,1125000
4600,1400000
10900,1500000
22896,0
136044,22250000
3052,0
0,0
0,0
1336,340000
1140,439000
1681,599000
1236,0
1674,360000
1854,721000
1080,100000
1728,389021
1942,396550
1742,1
1332,365970
826,0
562,0
1400,400000
1524,0
1768,250000
1424,485000
1891,730000
900,0
1128,0
1482,455200
1358,350000
1254,300000
400,0
1172,475000
504,0
1040,425000
963,0
782,450000
1038,0
1058,265000
1728,545000
700,165000
1712,375000
