 ,,2016,2015,% Chg,2016,2015,% Chg,2016,2015,% Chg,% Chg,% Chg,% Chg
Murder,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Rape,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Robbery,,0,0,***.*,0,1,-100,0,1,-100,-100,***.*,***.*
Fel. Assault,,13,3,333.3,47,16,193.8,49,18,172.2,-55.9,***.*,***.*
Burglary,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Gr. Larceny,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
G.L.A.,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
TOTAL,,13,3,333.33,47,17,176.47,49,19,157.89,-56.25,***.*,***.*
Transit,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Housing,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Petit Larceny,,0,0,***.*,1,0,***.*,1,0,***.*,***.*,***.*,***.*
Misd. Assault,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Misd. Sex Crimes,,1,0,***.*,1,0,***.*,1,0,***.*,***.*,***.*,***.*
Shooting Vic.,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
Shooting Inc.,,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*
