PRODUCT,SOURCE,REVIEW,RATING,DATE
True Color Shampoo,RitaHazan.com,It's a fantastic shampoo for colored hair.,5 Stars,2/16/17
True Color Shampoo,RitaHazan.com,This is an amazing shampoo!! I recommend it to all my friends!,5 Stars,12/29/15
True Color Shampoo,RitaHazan.com,this product is amazing,4 Stars,12/16/15
True Color Shampoo,Amazon,Smells great but does nothing to help hold color. Got same results with cheap Tresseme brand. Don't waste your money.,1 Star,4/24/17
True Color Shampoo,Amazon,This is an amazing product both the shampoo and the conditioner. It has saved me a lot of money on hair color. I can actially now have root toucb ups instead of payong for color all over. On my second bottle and will continie to order,5 Stars,6/29/17
True Color Shampoo,Amazon,"This has a nice smell, seems to work well. I wish I could get the conditioner to go with it on Amazon, but over all I would purchase again. I have to wash my hair frequently because I workout almost everyday. So, my hair gets dry. This seems to help a bit.",4 Stars,8/21/16
True Color Shampoo,Amazon,Love the way this shampoo/conditioner smells and makes my hair feel but I do t think it does much to preserve my color.,4 Stars,5/28/16
True Color Shampoo,Amazon,Love it!,5 Stars,5/19/17
True Color Shampoo,Amazon,"I am sorry to say, this shampoo strips my color all too soon. It dried my hair out and my color just did not hold up",1 Star,5/15/17
True Color Shampoo,Amazon,"I really like this shampoo and the conditioner. I have very fine color treated hair and these products don't weight it down at all, no does it make it frizzy or flyaway. The only thing that I've noticed and that you should be aware of is that you can not use the shampoo alone or your hair will be a tangled, dried out frizzy mess, it works great with the paired conditioner though, this will be my third bottle, I think this is the best product I've ever used but like I said, don't expect good results if you use the shampoo alone, get the conditioner to go with it. Robert's Wife",4 Stars,3/29/17
True Color Shampoo,Amazon,"I have really dry hair curly from years of coloring and have tried numerous sulfate shampoos. I found the RH shampoo combined with the RH conditioner has worked best for me - I also use a bit of Paul Mitchel leave in conditioner. This combination has left my hair in the best condition its been in years, soft, not weighed down, nice volume with blow dry - so I am sold. I also can get away with not shampooing everyday. I bought the shampoo and conditioner after reading an interview with Rita. I was intrigued with her expertise with color and sounded like she had the cred to develop hair care products for color treated hair. I sought out her website based on this interview (and from where I originally purchased) no products were provided to me for promotional purposes, I have no connection with the company and I purchased with my own funds.",4 Stars,10/17/16
True Color Shampoo,Sephora,"This shampoo actually deserves but I'm going to base my review on its performance which was fantastic not its scent which was overpowering all day long over everything else. I have a lot of thick, curly, color treated hair that goes to about my bra straps. I could tell from the moment I combed my hair out that my curls looked awesome after using this shampoo even though it's not for curly haired girls. It just kept looking better and better as it dried, it's a rare day when I don't fiddle endlessly or put it up because I hate the way it looks or its too frizzy. Unfortunately, I can't continue to use this because the scent is so overpowering, especially if my head gets a little warm like outside or any activity, it becomes gag inducing and almost really masculine. It's a shame because I would certainly shell out the money to love my hair like this since I only wash it once or twice a week.",4 Stars,7/5/16
True Color Shampoo,Sephora,"The smell was interesting, it's not for everyone. I liked how it lathered but it seemed to make my hair frizzy and wirey...it's usually a little wild if I don't straighten or curl it but it's always smooth. It seems rather rough today. I wish I could try it again tonight but the sample I got only had enough for one wash =(",2 Stars,3/16/16
True Color Shampoo,Sephora,"First of all, it smells fantastic!! Secondly, it makes your hair feel clean. With all the hair color and products that I use, every time I use this I see all the build up wash away! I would definitely follow up with the conditioner as that's what adds the moisture back in your hair without making your hair greasy.",5 Stars,9/22/16
True Color Shampoo,Sephora,"I tried the free samples (2 of them), and followed the directions. While it did seem to do fine with keeping my hair color intact, the texture of my hair afterwards was like a whisk broom. It stuck out all over my head and was very wiry. I normally have fine, soft, naturally curly hair. I don't think I will be using this product or recommending it.",2 Stars,3/10/16
True Color Shampoo,Sephora,"I really love this shampoo because it is one of the first sulfate-free shampoos that actually suds up and deeply cleans my hair. Having color treated hair, I love that it is safe for my processed locks. The only not so great thing is that it's a bit drying.",4 Stars,2/16/16
True Color Shampoo,Sephora,"I appreciate the other reviews, but it seems many have reviewed the shampoo based on a sample. I too received a sample, tried it, and loved the shampoo. But after purchasing and using the shampoo for several days, my hair started to feel really dry. I didn't like the texture of my hair using the shampoo and conditioner together, so chose to combine the Rita Hazen shampoo with a different brand. It's disappointing because I loved the fullness and body the shampoo created the first one or two uses and wish it had kept up. It's possible this would be a great shampoo to use alternatively with another, but it's costly enough to make that not really an option for me. I'm really on the fence with this, but I think you really have to use it more than a trial size allows to get the real sense.",3 Stars,4/11/16
True Color Shampoo,Sephora,"I am a product junkie with color treated fine but, thick hair. This shampoo partnered with the conditioner restores my hair color and gives it that....just left the salon look. Heavily scented but, I love it. I don't understand some of the comments that it is drying. Maybe not using the conditioner?",5 Stars,4/17/16
True Color Shampoo,Sephora,Used a sample of this shampoo and conditioner and now I'm soooo in love. I am big on strong fragrance so I love the smell . Trying to justify the cost for the size. Somehow I know I will. Awesome...the crazy price is the only reason I gave it 4 stars instead of 5.,4 Stars,4/4/16
True Color Shampoo,Sephora,"I received a sample of this shampoo and conditioner. I wish I could rate how it worked but the scent of gardenia was so strong it made me nauseated. I tried washing it out with my regular shampoo and conditioner but could still smell it. Fragrance is a personal thing and I've never been able to tolerate gardenia but I know others love it, this is just not for me.",1 Star,3/27/16
True Color Shampoo,Sephora,"Finally a Shampoo that works perfectly for my color treated hair! It leaves my hair silky, moisturized without weighing my fine textured hair down. And of course it smells amazing! Rita is a serious LIFE SAVER!",5 Stars,2/2/16
True Color Shampoo,Sephora,"I have a lot of hair that frizzes easily, color treated. I LOVE this shampoo and conditioner because they're moisturizing without weighing my hair down and doesn't make my scalp oilier. Hope it's never reformulated ! I don't mind the fragrance but can understand why it could be off-putting.",5 Stars,2/24/17
True Color Shampoo,Sephora,"I was expecting big things from this shampoo - the description, the price, the packaging. All in all, the strong perfumey scent is the only lingering element - and it's not a good one.",2 Stars,4/11/16
True Color Shampoo,Sephora,Wow! Not only does it make my hair feel so clean & smooth but also smells amazing! But must use with the conditioner,5 Stars,3/23/16
True Color Shampoo,Sephora,"This shampoo is great, since it leaves my hair clean without stripping the color. I have fine texture highlighted hair, and the color does not oxidize with this shampoo. I have tried many shampoo's, but they strip the color. I also like that, although sulfate free, this shampoo makes suds. Some reviewers found this shampoo drying, but I use it in conjunction with the conditioner, which is great too, and I do not find either drying at all. I recommend!",5 Stars,4/4/16
