Platform,Network,Program ,FEP Starts 
Mobile,Bravo,,0
Mobile,Bravo,Below Deck,4
Mobile,Bravo,Southern Charm,7
Mobile,Bravo,The Real Housewives of Dallas,1
Mobile,Bravo,The Real Housewives of New York City,6
Mobile,cnbc,,0
Mobile,cnbc,Billion Dollar Buyer,2
Mobile,cnbc,Follow the Leader,1
Mobile,e,,0
Mobile,Esquire,Beowulf,0
Mobile,Esquire,Boundless,462
Mobile,Esquire,Friday Night Tykes: Steel Country,572
Mobile,MSNBC,MSNBC Specials,1
Mobile,MSNBC,MTP Daily,9
Mobile,NBC,,0
Mobile,NBC,30 Rock,0
Mobile,NBC,American Dream Builders,0
Mobile,NBC,American Ninja Warrior,0
Mobile,NBC,Americaâ€™s Got Talent,0
Mobile,NBC,Aquarius,0
Mobile,NBC,Bad Judge,0
Mobile,NBC,Best Time Ever with Neil Patrick Harris,0
Mobile,NBC,Betty White's Off Their Rockers,0
Mobile,NBC,Blindspot,0
Mobile,NBC,Caught on Camera with Nick Cannon,0
Mobile,NBC,Chicago Fire,4
Mobile,NBC,Chicago Med,1
Mobile,NBC,Chicago P.D.,2
Mobile,NBC,Crowded,3
Mobile,NBC,Dateline,4
Mobile,NBC,Days of our Lives,21
Mobile,NBC,Days%20of%20our%20Lives,0
Mobile,NBC,Emmy Awards,0
Mobile,NBC,Food Fighters,0
Mobile,NBC,Game of Silence,0
Mobile,NBC,Grimm,1
Mobile,NBC,Hannibal,0
Mobile,NBC,Heartbeat,0
Mobile,NBC,Heroes,0
Mobile,NBC,Heroes Reborn,3
Mobile,NBC,Heroes Reborn - Dark Matters,0
Mobile,NBC,Hollywood Game Night,0
Mobile,NBC,How Murray Saved Christmas,0
Mobile,NBC,I Can Do That,0
Mobile,NBC,Jay Leno's Garage,0
Mobile,NBC,Jay Lenoâ€™s Garage,0
Mobile,NBC,Last Call with Carson Daly,0
Mobile,NBC,Last Comic Standing,0
Mobile,NBC,Late Night with Jimmy Fallon,0
Mobile,NBC,Late Night with Seth Meyers,1
Mobile,NBC,Law & Order: Special Victims Unit,0
Mobile,NBC,Little Big Shots,1
Mobile,NBC,Maya & Marty,0
Mobile,NBC,Meet the Press,2
Mobile,NBC,Miss USA,0
Mobile,NBC,Mr. Robinson,0
Mobile,NBC,NBC,0
Mobile,NBC,NBC Nightly News,0
