Platform,Network,Program,FEP Starts
AppleTV,bravo,,0
AppleTV,bravo,The Real Housewives of New York City,1
AppleTV,bravo,top chef,4
AppleTV,bravo,Watch What Happens Live,1
AppleTV,e,,0
AppleTV,NBC,,0
AppleTV,NBC,Amazing Stories,2221
AppleTV,NBC,Aquarius,2204
AppleTV,NBC,Battlestar Galactica Classic,74
AppleTV,NBC,Best Time Ever with Neil Patrick Harris,0
AppleTV,NBC,Blindspot,136148
AppleTV,NBC,Caught on Camera with Nick Cannon,8192
AppleTV,NBC,Charles in Charge,130
AppleTV,NBC,Chicago Fire,48863
AppleTV,NBC,Chicago Med,71346
AppleTV,NBC,Chicago P.D.,33762
AppleTV,NBC,Crossbones,3637
AppleTV,NBC,Crowded,65948
AppleTV,NBC,Dateline,174101
AppleTV,NBC,Days of our Lives,56894
AppleTV,NBC,Deception,2
AppleTV,NBC,Do No Harm,6
AppleTV,NBC,Dracula,5472
AppleTV,NBC,Food Fighters,0
AppleTV,NBC,Game of Silence,42041
AppleTV,NBC,Grimm,38217
AppleTV,NBC,Growing Up Fisher,4449
AppleTV,NBC,Guys With Kids,9471
AppleTV,NBC,Heartbeat,56217
AppleTV,NBC,Heroes Reborn,10576
AppleTV,NBC,Heroes Reborn - Dark Matters,0
AppleTV,NBC,Hollywood Game Night,4856
AppleTV,NBC,Jay Leno's Garage,0
AppleTV,NBC,Kings,1753
AppleTV,NBC,Knight Rider,5502
AppleTV,NBC,Knight Rider Classic,6557
AppleTV,NBC,Late Night with Seth Meyers,2681
AppleTV,NBC,Law & Order: Special Victims Unit,36033
AppleTV,NBC,Life,11
AppleTV,NBC,Lipstick Jungle,3469
AppleTV,NBC,Little Big Shots,89679
AppleTV,NBC,Meet the Press,15159
AppleTV,NBC,Miami Vice,7361
AppleTV,NBC,NBC Nightly News,8783
AppleTV,NBC,Outsourced,1224
AppleTV,NBC,Quantum Leap,79
AppleTV,NBC,Saturday Night Live,79615
AppleTV,NBC,Shades of Blue,95170
AppleTV,NBC,Shades of Blue en Espanol,989
AppleTV,NBC,Strong,20474
AppleTV,NBC,Superstore,30721
AppleTV,NBC,Telenovela,8447
AppleTV,NBC,Telenovela en Espanol,548
AppleTV,NBC,The Black Donnellys,1583
