Please list up to five exclusive YouTube shows that you watch.				
				
1	2	3	4	5
20/20	3	5 Minute Hour	Apache helicopter	240
48 hours	Adults say the darnedest things	African Movies	badlipreading	1080
Achievement hunter	american idol	American Justice	Buzzfeed	.
after buzz tv	Achievement Hunter: Let's Play	americn horror story	arrow	Children songs
Afterbuzz TV	apple	Anime Addicts Anonymous Podcast	Babies laughing	Cold Case Files
akward black girl	baggage	any day now	bbc america	comedy
Ali-A	Barrelates	b reals smoke box	buzz feed	Comedy button
Amateur Logic.TV	Becoming YouTube	best games ever	Cartoon Hangover	David Letterman
andy griffith	bible stores/study	brothers green	cinemasins	Disney Parks' Official Channel
Backyard Bowyer	Big Cat Derek	Care Rescue Texas	CinemaSins	divorce court
Bee and Poppy Cat	BLACK BLUD BROTHERS	comic vine	Cooking	Epic Rap Battles of History
Bee and Puppycat	Bravest Warriors	D. Piddy	Discovering Religion	Fred, lucas
between us	Bravest Warriors	dark5	ENCHUFE TV	Gardening
big bang theory	Britney furlan	dashie	Epic rap battles	geek & sundry
Bigolates	BuzzFeedBlue	David Guetta	funny commercials	Good times
Bite Me	CHAOSSILENCER	doctor who	GFQ's Tech News Weekly	help videos
Bravest Warriors	Chris crocker	Doctor who News	gundam wing	Hise
Britain's Got Talent	college humor	emmy awards	Horror Addict	Ill-Will Press/Foamy the Squirrel by Jonathan Ian Mathers
BRYAN ELLIOT	CollegeHumor	FEFEFAMILYFANPAGE	how to cook that	LARPs: The Series
Buzzfeed	Conversations with Colin	frasier	J Balvin	laverne and shelly
Chester See	Cutiepiemarzia	funny anything	Jimmy Kimmel	More videos to choose from, sound, editing and picture are all better.
cholo adventures	eating healthy	Game Grumps	kicking dan out	movie trailer
Community Channel	Ellen degenerus	Game Over Greggy Show	Let's Play	music videos
Continue?	ellen genera	Geek & Sundry	lifetime movies	My Music Sitcom
cooking with dog	Empresses of the Palace	GFQ's What the Tech	LindseyTime	n/a
crazy russian	European soccer	H+	lucy	n/a
Crocheting	freddiew	Honest trailers	Marine Corps	Nerd Machine
CSI:NY	Friends	Hot 97	Music Extra	none
Cyanide & Happiness Show	Game Grumps	How to decorate cakes	n/a	none
Cyanide and Happiness Show	Geek & Sundry	i hate being single	n/a	none
dateline	ggn news	JACK AND KATE PLUS 8	nardwuar	none
deflate-gate	Good Mythical Morning	Jessie Ventura	Neil's Puppet Dreams	Review
District 13	good mythical morning	Johnny Depp	nerds	Sakimichan
DK	How to crochet	JonTron	none	Sequelitis
doctors	jamie oliver food tube	Keeping up with the kardashians	none	Sia
dont know	Jay Leno's Garage	Lakewood Church	none	solved
don't know	jimmy falon	married wth children	none	sugarboy
ellen	JonTronShow	Maximilian Dood	oldie songs	Tabletop
exclusive amateur	Jorge Sprave/The Slingshot channel	Mermaids	PinkSugarCotton	taken
exercise	Judge Judy	movies	revenge	the apprentice
Firewall	kids react	My Drunk Kitchen	San Diego Zoo	the big bang theory
first take	KindaFunnyGames	n/a	sports	TotalBiscuit
funny animals	Kondike Kat cartoon	ncis new orleans	Steam Train	Unusual Suspects
Game Grumps	laurainthekitchen	newlywed game	Stratosphere Lounge	urban dance camp
Game Theories	Louis Vuitton fashion show	Neyo video	swamp murders	VEVO
Good Mythical Morning	Maru	none	TED Talks	vice news
good mythical morning	mattew santoro	none	Two and A Half Men	You can do it yourself.
google	maury	none	Unboxing	
Gopher Indians cartoon	michelle phan	none	Up at Noon	
hexed	mike rood	nukemdukem	variant comics	
household hacker	Mormon Messages Youth	odd couples	Vat19	
I don't usually watch youtube exclusives	music	Off Beat Spaces	vsauce	
ID on Discovery	music	Pewdie pie	WatchMojo.com	
Inifinite Waters (Diving Deep) with Ralph Smart	n/a	Play Pals	WWE	
Jenna marbles	Nathan Barnatt	rapbattlesofhistory	WWE Network	
Jlo	ncis la	Richie Precopio's Guild Wars 2 Video		
josephluginbill	Nerdist content	samsung		
Just kidding news	New World Order	save us chuck		
justine bieber	newsbusted	Simon's Cat		
KindaFunny	NewsDump	Studio C		
konnen	nigahiga	Styling		
krazycouponlady	NigaHiga	SuperNatural		
Latest in politics	ninja freebies	The Phillip DeFranco Show with Phillip DeFranco		
Lion Whisperer	none	The Piano Guys		
Martin	none	Top 10		
movies	none	True Crime		
mr hand	none	VEVO		
Music Videos	old movies	Video Game High School		
Muthaship	Prank videos	Video game videos		
n/a	raymond	Wassabi Productions		
n/a	raymond	World of Keralis: let's Build		
N/a	real men cookout			
na	reel feed			
na	Shane Dawson TV			
NCIS	skydoesminecraft			
ncis	Smosh			
Nerdist Play	Sourcefed Nerd			
Ninjabriged	Sports			
no	Standard Action			
no	state of syn			
No  one    I  remember	stevecash			
None	Street smart brazil			
none	tabletop			
none	taxi			
none	Team CoCo			
none	The big Bang Theory			
none	The breakfast Club			
None	The Dan Cave			
none	the digital series			
none	The Spiritual Catalyst with Teal Swan			
none	THNKR			
none	UPROXX			
none	Vsauce			
None	watchmojo top 10			
none are exclusive	wigs			
none at present	You Tube stupid people			
not sure of the names				
Once upon a time				
Oreo Oration				
pewdiepie				
Pewdiepie				
Phillip de franco				
Regular Car Reviews				
religious videos				
rick owens fashion show				
seriously strange				
Shameless				
smosh				
Speakeasy				
Suspicious Observers				
Table Top				
tabletop				
talkingkittycatsylvester				
tax classes				
TedTalks				
Teens React				
Tekzilla				
The Angry Grandpa Show				
The big valley				
the brady bunch				
The Creatures				
The Daily Byte				
The guild				
The New Detectives				
The New York Times				
the office				
thunder				
Tireo				
Top 5				
unsung				
vevo music videos				
Video Game High School				
VlogBrothers				
watch mojo				
what's the buck				
Willam's Beatdown				
wwe ppv kick off				
You Tube top 10				
				
